work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote,company_location,company_size
2022,SE,FT,Machine Learning Engineer,120000,AE,1,AE,S
2022,SE,FT,Machine Learning Engineer,65000,AE,1,AE,S
2022,EN,FT,Machine Learning Engineer,12000,AR,1,AR,L
2022,EN,FT,Data Analytics Engineer,13000,AR,1,AR,S
2022,EN,FT,Data Analyst,50000,AR,1,AR,L
2022,EN,FT,Business Data Analyst,50000,IN,1,AS,L
2022,MI,FT,Research Scientist,61989,AT,0,AT,L
2022,MI,FT,Data Scientist,83171,AU,0,AU,L
2022,MI,FT,BI Data Analyst,53368,AU,1,AU,M
2022,SE,FT,Data Science Manager,133766,AU,1,AU,L
2022,MI,FT,Machine Learning Engineer,83864,AU,1,AU,L
2022,EN,FT,AI Programmer,40000,PK,1,AU,M
2022,EN,FT,Machine Learning Developer,40000,PK,1,AU,M
2022,SE,FT,Data Analyst,171000,US,1,AU,L
2022,EN,FT,Computer Vision Software Engineer,150000,AU,1,AU,S
2022,EN,FT,Data Scientist,84053,BE,1,BE,L
2022,MI,FT,Business Data Analyst,9289,BR,1,BR,M
2022,EN,FT,Data Analyst,7799,BR,1,BR,L
2022,EN,FT,BI Data Analyst,6270,BR,1,BR,L
2022,MI,FT,Analytics Engineer,78000,BR,1,BR,M
2022,MI,FT,Analytics Engineer,48000,BR,1,BR,M
2022,MI,FT,Data Engineer,78000,BR,1,BR,M
2022,MI,FT,Data Engineer,42000,BR,1,BR,M
2022,MI,FT,BI Analyst,78000,BR,1,BR,M
2022,MI,FT,BI Analyst,48000,BR,1,BR,M
2022,MI,FT,Data Scientist,84000,BR,1,BR,M
2022,MI,FT,Data Scientist,54000,BR,1,BR,M
2022,SE,FT,AI Developer,275000,CA,0,CA,S
2022,SE,FT,Data Engineer,178000,CA,0,CA,M
2022,SE,FT,Data Engineer,132000,CA,0,CA,M
2022,MI,FT,Data Analyst,100000,CA,0,CA,M
2022,MI,FT,Data Analyst,65000,CA,0,CA,M
2022,SE,FT,Machine Learning Engineer,140000,CA,0,CA,M
2022,SE,FT,Machine Learning Engineer,110000,CA,0,CA,M
2022,MI,FT,Data Analyst,85000,CA,0,CA,M
2022,MI,FT,Data Analyst,75000,CA,0,CA,M
2022,EN,FT,Data Analyst,67000,CA,0,CA,M
2022,EN,FT,Data Analyst,52000,CA,0,CA,M
2022,EN,FT,Data Scientist,73742,CA,1,CA,L
2022,EX,FT,Lead Data Engineer,115222,CA,1,CA,S
2022,MI,FT,Machine Learning Developer,76814,CA,1,CA,M
2022,MI,FT,Data Scientist,67597,CA,1,CA,M
2022,EN,FT,Data Scientist,51081,CA,1,CA,L
2022,SE,FT,Machine Learning Developer,76814,CA,1,CA,M
2022,SE,FT,Machine Learning Software Engineer,248400,CA,1,CA,M
2022,SE,FT,Machine Learning Software Engineer,183600,CA,1,CA,M
2022,SE,FT,Machine Learning Software Engineer,227200,CA,1,CA,M
2022,SE,FT,Machine Learning Software Engineer,168000,CA,1,CA,M
2022,SE,FT,Machine Learning Engineer,187200,CA,1,CA,M
2022,SE,FT,Machine Learning Engineer,116100,CA,1,CA,M
2022,SE,FT,Data Engineer,185800,CA,1,CA,M
2022,SE,FT,Data Engineer,137400,CA,1,CA,M
2022,SE,FT,Data Architect,192400,CA,1,CA,M
2022,SE,FT,Data Architect,90700,CA,1,CA,M
2022,SE,FT,Data Analyst,130000,CA,1,CA,M
2022,SE,FT,Data Analyst,61300,CA,1,CA,M
2022,SE,FT,Data Analyst,130000,CA,1,CA,M
2022,SE,FT,Data Analyst,61300,CA,1,CA,M
2022,MI,FT,Principal Data Analyst,75000,CA,1,CA,S
2022,MI,FT,Data Scientist,120402,CH,0,CH,L
2022,EN,FT,Machine Learning Engineer,56536,CH,1,CH,S
2022,MI,FT,Machine Learning Engineer,104697,CH,1,CH,L
2022,SE,FT,AI Scientist,125000,CO,1,CO,L
2022,EN,FT,3D Computer Vision Researcher,50000,US,1,CR,S
2022,MI,FT,NLP Engineer,5132,CZ,1,CZ,M
2022,EN,FT,BI Data Analyst,60938,DE,0,DE,L
2022,MI,FT,Data Scientist,64090,DE,0,DE,M
2022,MI,FT,Data Scientist,60938,DE,0,DE,M
2022,MI,FT,Research Scientist,126080,DE,0,DE,S
2022,MI,FT,Research Scientist,84053,DE,0,DE,S
2022,SE,FT,Lead Machine Learning Engineer,84053,DE,0,DE,M
2022,MI,FT,Data Scientist,73546,DE,1,DE,M
2022,EN,FT,Machine Learning Scientist,34672,IT,1,DE,S
2022,MI,FT,Data Scientist,75648,DE,1,DE,S
2022,MI,FT,BI Data Analyst,50432,DE,1,DE,S
2022,MI,FT,Data Scientist,60938,DE,1,DE,S
2022,MI,FT,Machine Learning Engineer,84053,FR,1,DE,M
2022,EN,FT,Data Engineer,55475,PK,1,DE,M
2022,SE,FT,Principal Data Scientist,155499,DE,1,DE,M
2022,EN,FT,Machine Learning Developer,33000,IT,1,DE,S
2022,MI,FT,Head of Data,31520,EE,1,EE,S
2022,MI,FT,Machine Learning Scientist,22800,EG,1,EG,M
2022,SE,FT,Data Engineer,73546,ES,0,ES,M
2022,SE,FT,Data Engineer,36773,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Analyst,50432,ES,0,ES,M
2022,SE,FT,Data Analyst,39925,ES,0,ES,M
2022,SE,FT,Data Engineer,68293,ES,0,ES,M
2022,SE,FT,Data Engineer,36773,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Engineer,68293,ES,0,ES,M
2022,SE,FT,Data Engineer,42026,ES,0,ES,M
2022,SE,FT,Data Engineer,68293,ES,0,ES,M
2022,SE,FT,Data Engineer,36773,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Analyst,50432,ES,0,ES,M
2022,SE,FT,Data Analyst,36773,ES,0,ES,M
2022,SE,FT,Data Scientist,47280,ES,0,ES,M
2022,SE,FT,Data Scientist,37824,ES,0,ES,M
2022,SE,FT,Data Analyst,50432,ES,0,ES,M
2022,SE,FT,Data Analyst,36773,ES,0,ES,M
2022,SE,FT,Data Analyst,50432,ES,0,ES,M
2022,SE,FT,Data Analyst,36773,ES,0,ES,M
2022,EN,FT,AI Scientist,31520,PT,1,ES,M
2022,MI,FT,Data Engineer,84053,ES,1,ES,M
2022,MI,FT,Data Engineer,73546,ES,1,ES,M
2022,MI,FT,Data Analyst,42026,ES,1,ES,M
2022,MI,FT,Data Analyst,31520,ES,1,ES,M
2022,MI,FT,Data Engineer,84053,ES,1,ES,M
2022,MI,FT,Data Engineer,73546,ES,1,ES,M
2022,MI,FT,Data Engineer,63040,ES,1,ES,M
2022,MI,FT,Data Engineer,47280,ES,1,ES,M
2022,MI,FT,Data Scientist,94560,FR,1,FR,M
2022,MI,FT,Data Scientist,52533,FR,1,FR,M
2022,MI,FT,Computer Vision Engineer,58837,FR,1,FR,S
2022,MI,FT,Data Scientist,63040,FR,1,FR,M
2022,MI,FT,Data Scientist,52533,FR,1,FR,M
2022,SE,FT,Machine Learning Engineer,115573,FR,1,FR,M
2022,SE,FT,Machine Learning Engineer,73546,FR,1,FR,M
2022,MI,FT,Data Engineer,65141,FR,1,FR,M
2022,MI,FT,Data Scientist,92350,GB,0,GB,M
2022,MI,FT,Data Scientist,67723,GB,0,GB,M
2022,MI,FT,Data Analyst,430967,GB,0,GB,M
2022,MI,FT,Data Analyst,55410,GB,0,GB,M
2022,MI,FT,Data Science Consultant,70186,GB,0,GB,M
2022,MI,FT,Data Science Consultant,51716,GB,0,GB,M
2022,SE,FT,Data Analyst,92350,GB,0,GB,M
2022,SE,FT,Data Analyst,70186,GB,0,GB,M
2022,MI,FT,Analytics Engineer,104663,GB,0,GB,M
2022,MI,FT,Analytics Engineer,73880,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,104663,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,80036,GB,0,GB,M
2022,SE,FT,Analytics Engineer,103432,GB,0,GB,M
2022,SE,FT,Analytics Engineer,92350,GB,0,GB,M
2022,MI,FT,Data Engineer,110820,GB,0,GB,M
2022,MI,FT,Data Engineer,92350,GB,0,GB,M
2022,MI,FT,Data Scientist,118208,GB,0,GB,M
2022,MI,FT,Data Scientist,110820,GB,0,GB,M
2022,MI,FT,Data Engineer,98506,GB,0,GB,M
2022,MI,FT,Data Engineer,73880,GB,0,GB,M
2022,SE,FT,Data Analyst,86193,GB,0,GB,M
2022,SE,FT,Data Analyst,61566,GB,0,GB,M
2022,MI,FT,Data Engineer,91118,GB,0,GB,M
2022,MI,FT,Data Engineer,61566,GB,0,GB,M
2022,MI,FT,Data Engineer,135446,GB,0,GB,M
2022,MI,FT,Data Engineer,104663,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,116976,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,92350,GB,0,GB,M
2022,MI,FT,Data Engineer,110820,GB,0,GB,M
2022,MI,FT,Data Engineer,92350,GB,0,GB,M
2022,MI,FT,Data Scientist,67723,GB,0,GB,M
2022,MI,FT,Data Scientist,43096,GB,0,GB,M
2022,MI,FT,Data Scientist,61566,GB,0,GB,M
2022,MI,FT,Data Scientist,36940,GB,0,GB,M
2022,MI,FT,Data Engineer,73880,GB,0,GB,M
2022,MI,FT,Data Engineer,49253,GB,0,GB,M
2022,SE,FT,Data Scientist,110820,GB,0,GB,M
2022,SE,FT,Data Scientist,98506,GB,0,GB,M
2022,SE,FT,Data Engineer,73880,GB,0,GB,M
2022,SE,FT,Data Engineer,61566,GB,0,GB,M
2022,MI,FT,Data Analyst,61566,GB,0,GB,M
2022,MI,FT,Data Analyst,43096,GB,0,GB,M
2022,MI,FT,Data Scientist,172386,GB,0,GB,M
2022,MI,FT,Data Scientist,86193,GB,0,GB,M
2022,SE,FT,Data Scientist,88256,ES,1,GB,L
2022,SE,FT,Applied Machine Learning Scientist,77119,FR,1,GB,L
2022,MI,FT,Data Engineer,92350,GB,1,GB,M
2022,MI,FT,Data Engineer,73880,GB,1,GB,M
2022,MI,FT,Deep Learning Engineer,86193,GB,1,GB,M
2022,MI,FT,Deep Learning Engineer,49253,GB,1,GB,M
2022,SE,FT,Data Engineer,61566,GB,1,GB,M
2022,SE,FT,Data Engineer,43096,GB,1,GB,M
2022,EN,FT,Data Engineer,61566,GB,1,GB,M
2022,EN,FT,Data Engineer,49253,GB,1,GB,M
2022,MI,FT,Data Engineer,80036,GB,1,GB,M
2022,MI,FT,Data Engineer,67723,GB,1,GB,M
2022,MI,FT,Data Scientist,102200,GB,1,GB,M
2022,MI,FT,Data Engineer,80036,GB,1,GB,M
2022,MI,FT,Data Engineer,67723,GB,1,GB,M
2022,MI,FT,Data Engineer,98506,GB,1,GB,M
2022,MI,FT,Data Engineer,86193,GB,1,GB,M
2022,SE,FT,Analytics Engineer,102663,GB,1,GB,M
2022,SE,FT,Analytics Engineer,80041,GB,1,GB,M
2022,SE,FT,Data Engineer,104611,GB,1,GB,M
2022,SE,FT,Data Engineer,82280,GB,1,GB,M
2022,EN,FT,Machine Learning Engineer,55410,GB,1,GB,S
2022,MI,FT,Data Scientist,131752,GB,1,GB,M
2022,MI,FT,Data Engineer,92350,GB,1,GB,M
2022,MI,FT,Data Engineer,67723,GB,1,GB,M
2022,EN,FT,Machine Learning Engineer,35093,GB,1,GB,L
2022,MI,FT,Data Analyst,49253,GB,1,GB,M
2022,MI,FT,Data Analyst,36940,GB,1,GB,M
2022,MI,FT,Data Engineer,98506,GB,1,GB,M
2022,MI,FT,Data Engineer,86193,GB,1,GB,M
2022,MI,FT,Data Engineer,92350,GB,1,GB,M
2022,MI,FT,Data Engineer,73880,GB,1,GB,M
2022,MI,FT,Data Engineer,73880,GB,1,GB,M
2022,MI,FT,Data Engineer,55410,GB,1,GB,M
2022,EN,FT,Data Engineer,49253,GB,1,GB,M
2022,EN,FT,Data Engineer,43096,GB,1,GB,M
2022,SE,FT,Marketing Data Analyst,200000,GB,1,GB,S
2022,EN,FT,Machine Learning Engineer,30000,GB,1,GB,L
2022,MI,FT,ETL Developer,52533,GR,0,GR,M
2022,MI,FT,ETL Developer,52533,GR,0,GR,M
2022,MI,FT,Data Engineer,84053,GR,1,GR,M
2022,MI,FT,Data Engineer,73546,GR,1,GR,M
2022,MI,FT,Data Engineer,84053,GR,1,GR,M
2022,MI,FT,Data Engineer,73546,GR,1,GR,M
2022,MI,FT,Data Analyst,42026,GR,1,GR,M
2022,MI,FT,Data Analyst,31520,GR,1,GR,M
2022,MI,FT,Data Engineer,63040,GR,1,GR,M
2022,MI,FT,Data Engineer,47280,GR,1,GR,M
2022,MI,FT,Data Analyst,20000,GR,1,GR,S
2022,EN,FT,Data Scientist,17684,HU,1,HU,M
2022,EN,FT,Data Analyst,15000,ID,0,ID,L
2022,MI,FT,Data Scientist,53416,IN,1,ID,L
2022,SE,FT,Lead Data Scientist,172309,IE,1,IE,L
2022,SE,FT,Machine Learning Engineer,68293,IE,1,IE,S
2022,SE,FT,Lead Data Scientist,56723,IN,0,IN,L
2022,MI,FT,Computer Vision Engineer,15897,IN,1,IN,M
2022,MI,FT,Data Analyst,14307,IN,1,IN,L
2022,MI,FT,Data Scientist,13989,IN,1,IN,L
2022,SE,FT,Principal Data Architect,38154,IN,1,IN,L
2022,EN,FT,BI Data Analyst,8050,IN,1,IN,M
2022,EN,FT,Data Analyst,6359,FR,1,IN,L
2022,MI,FT,Data Analyst,5723,IN,1,IN,S
2022,MI,FT,Business Data Analyst,17805,IN,1,IN,M
